Date,county,State,FIPS,Cases,Death
7/11/2020,Autauga,Alabama,1001,684,15
7/11/2020,Baldwin,Alabama,1003,1224,12
7/11/2020,Barbour,Alabama,1005,398,2
7/11/2020,Bibb,Alabama,1007,224,1
7/11/2020,Blount,Alabama,1009,307,1
7/11/2020,Bullock,Alabama,1011,382,11
7/11/2020,Butler,Alabama,1013,654,29
7/11/2020,Calhoun,Alabama,1015,500,5
7/11/2020,Chambers,Alabama,1017,690,27
7/11/2020,Cherokee,Alabama,1019,128,7
7/11/2020,Chilton,Alabama,1021,331,3
7/11/2020,Choctaw,Alabama,1023,213,12
7/11/2020,Clarke,Alabama,1025,313,6
7/11/2020,Clay,Alabama,1027,85,2
7/11/2020,Cleburne,Alabama,1029,42,1
7/11/2020,Coffee,Alabama,1031,429,4
7/11/2020,Colbert,Alabama,1033,505,6
7/11/2020,Conecuh,Alabama,1035,232,8
7/11/2020,Coosa,Alabama,1037,65,1
7/11/2020,Covington,Alabama,1039,437,13
7/11/2020,Crenshaw,Alabama,1041,131,3
7/11/2020,Cullman,Alabama,1043,581,6
7/11/2020,Dale,Alabama,1045,394,1
7/11/2020,Dallas,Alabama,1047,1009,9
7/11/2020,DeKalb,Alabama,1049,951,7
7/11/2020,Elmore,Alabama,1051,1047,20
7/11/2020,Escambia,Alabama,1053,480,8
7/11/2020,Etowah,Alabama,1055,964,14
7/11/2020,Fayette,Alabama,1057,85,1
7/11/2020,Franklin,Alabama,1059,937,16
7/11/2020,Geneva,Alabama,1061,96,0
7/11/2020,Greene,Alabama,1063,195,9
7/11/2020,Hale,Alabama,1065,353,23
7/11/2020,Henry,Alabama,1067,154,4
7/11/2020,Houston,Alabama,1069,600,9
7/11/2020,Jackson,Alabama,1071,422,3
7/11/2020,Jefferson,Alabama,1073,6504,172
7/11/2020,Lamar,Alabama,1075,88,1
7/11/2020,Lauderdale,Alabama,1077,571,6
7/11/2020,Lawrence,Alabama,1079,128,0
7/11/2020,Lee,Alabama,1081,1611,38
7/11/2020,Limestone,Alabama,1083,628,4
7/11/2020,Lowndes,Alabama,1085,485,24
7/11/2020,Macon,Alabama,1087,221,9
7/11/2020,Madison,Alabama,1089,2150,10
7/11/2020,Marengo,Alabama,1091,354,11
7/11/2020,Marion,Alabama,1093,279,14
